title;artist;date;streams
Miénteme;TINI, Maria Becerra;30-04-2021;68632541.0
DÁKITI;Bad Bunny, Jhay Cortez;30-10-2020;68344309.0
Adan y Eva;Paulo Londra;06-11-2018;67878586.0
Qué Más Pues?;J Balvin, Maria Becerra;28-05-2021;60458146.0
Entre Nosotros;Tiago PZK, LIT Killah;09-07-2021;59070358.0
China;Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;19-07-2019;57595312.0
Calma - Remix;Pedro Capó, Farruko;23-11-2018;52692428.0
Pa Mí - Remix;Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez;25-02-2019;51722456.0
Como Si No Importara;Emilia, Duki;14-07-2021;51050343.0
Bandido;Myke Towers, Juhn;20-12-2020;51039397.0
