title;artist;date;streams
DÁKITI;Bad Bunny, Jhay Cortez;2021-07-01;101972181.0
No Me Conoce - Remix;Jhay Cortez, J Balvin, Bad Bunny;2020-05-01;67500012.0
China;Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin;2020-06-01;63260705.0
Callaita;Bad Bunny, Tainy;2019-06-01;63163114.0
Yonaguni;Bad Bunny;2021-07-01;57944839.0
Bandido;Anuel AA, Mariah Angeliq;2020-05-29;57798528.0
La Curiosidad;Jay Wheeler, DJ Nelson, Myke Towers;2020-06-12;54793339.0
LA NOCHE DE ANOCHE;Bad Bunny, ROSALÍA;2021-07-01;52749683.0
Amanece;Anuel AA, Haze;2019-01-01;49451393.0
Soltera - Remix;Lunay, Daddy Yankee, Bad Bunny;2019-05-10;48715809.0
