title;artist;date;streams
DÁKITI;Bad Bunny, Jhay Cortez;2021-07-01;37842627.0
La Curiosidad;Jay Wheeler, DJ Nelson, Myke Towers;2020-06-23;27516812.0
Yonaguni;Bad Bunny;2021-07-01;23362371.0
LA CANCIÓN;J Balvin, Bad Bunny;2020-05-01;21617317.0
LA NOCHE DE ANOCHE;Bad Bunny, ROSALÍA;2021-07-01;20111537.0
No Me Conoce - Remix;Jhay Cortez, J Balvin, Bad Bunny;2020-05-01;20037341.0
Bandido;Myke Towers, Juhn;2021-07-01;19600983.0
Callaita;Bad Bunny, Tainy;2020-05-01;19469959.0
Calma - Remix;Pedro Capó, Farruko;2018-11-01;18883343.0
China;Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;2020-05-01;18729250.0
