title;artist;date;streams
DÁKITI;Bad Bunny, Jhay Cortez;2021-07-01;36844690.0
China;Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;2020-05-01;33099378.0
La Curiosidad;Jay Wheeler, DJ Nelson, Myke Towers;2020-06-28;29881855.0
No Me Conoce - Remix;Jhay Cortez, J Balvin, Bad Bunny;2020-05-01;29291385.0
Callaita;Bad Bunny, Tainy;2019-06-01;28143957.0
Pa Mí - Remix;Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez;2019-03-01;27017520.0
LA CANCIÓN;J Balvin, Bad Bunny;2020-05-01;25434796.0
Adan y Eva;Paulo Londra;2018-12-01;25196908.0
Bandido;Myke Towers, Juhn;2021-07-01;23403565.0
Yonaguni;Bad Bunny;2021-07-01;23143166.0
