title;artist;date;streams
DÁKITI;Bad Bunny, Jhay Cortez;2021-07-01;4568020.0
Adan y Eva;Paulo Londra;2018-12-01;4496390.0
Miénteme;TINI, Maria Becerra;2021-07-01;4414102.0
Calma - Remix;Pedro Capó, Farruko;2018-12-01;3983860.0
China;Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;2019-08-01;3927998.0
Qué Más Pues?;J Balvin, Maria Becerra;2021-07-01;3835838.0
La Curiosidad;Jay Wheeler, DJ Nelson, Myke Towers;2020-06-26;3831905.0
Bandido;Myke Towers, Juhn;2021-07-01;3632974.0
Pa Mí - Remix;Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez;2019-03-01;3462403.0
Callaita;Bad Bunny, Tainy;2019-06-01;3399678.0
